occurrenceID,eventID,month,day,year,locationID,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,countryCode,county,habitat,basisOfRecord,recordedBy,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,occurrenceRemarks,,identificationVerificationStatus,taxonID,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,scientificNameAuthorship,vernacularName,collectionCode
SBN:104785:201070,SBN:eventId:104785,07,08,2023,site:569:3,59.553285,18.335401,1000,Sweden,SE,Stockholms län,"lakeside, edge of forest",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,1,1,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201070,Issoria lathonia,Animalea,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Issoria,lathonia,species,"Linnaeus, 1758",Storfläckig pärlemorfjäril,SBN
SBN:104785:201071,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2,,,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,9,9,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201071,Brenthis  ino,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Brenthis,ino,species,"Rottemburg, 1775",Älggräspärlemorfjäril,SBN
SBN:104785:201072,SBN:eventId:104785,07,08,2023,site:569:1,59.55292,-18.333422,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,1,1,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201072,Boloria aquilonaris,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,aquilonaris,species,"Stichel, 1908",Myrpärlemorfjäril,SBN
SBN:104785:201075,SBN:eventId:104785,07,08,2023,site:569:1,59.55292,-18.333422,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,2,2,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201075,Boloria selene,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,selene,species,"Denis & Schiffermüller, 1775",Brunfläckig pärlemorfjäril,SBN
SBN:104785:201086,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2 | site:569:3 ,,,1000,Sweden,SE,Stockholms län,"deciduous forest, lakeside",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,26,26,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201086,Melitaea athalia,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,athalia,species,"Rottemburg, 1775",Skogsnätfjäril,SBN
SBN:104785:201099,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2,,,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,9,9,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201099,Erebia ligea,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Erebia,ligea,species,"Linnaeus, 1758",Skogsgräsfjäril,SBN
SBN:104785:201107,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2 | site:569:3 ,,,1000,Sweden,SE,Stockholms län,"deciduous forest, lakeside",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,334,334,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201107,Aphantopus hyperantus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aphantopus,hyperantus,species,"Linnaeus, 1758",Luktgräsfjäril,SBN
SBN:104785:201110,SBN:eventId:104785,07,08,2023,site:569:2 | site:569:3,,,1000,Sweden,SE,Stockholms län,"deciduous forest, lakeside",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,6,6,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201110,Coenonympha arcania,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,arcania,species,"Linnaeus, 1760",Pärlgräsfjäril,SBN
SBN:104785:201115,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2 | site:569:3 ,,,1000,Sweden,SE,Stockholms län,"deciduous forest, lakeside",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,94,94,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201115,Lasiommata maera,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lasiommata,maera,species,"Linnaeus, 1758",Vitgräsfjäril,SBN
SBN:104785:201143,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2,,,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,3,3,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201143,Cyaniris semiargus,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cyaniris,semiargus,species,"Rottemburg, 1775",Ängsblåvinge,SBN
SBN:104785:201144,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2 | site:569:3 ,,,1000,Sweden,SE,Stockholms län,"deciduous forest, lakeside",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,20,20,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201144,Polyommatus icarus,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatus,icarus,species,"Rottemburg, 1775",Puktörneblåvinge,SBN
SBN:104785:201146,SBN:eventId:104785,07,08,2023,site:569:3,59.553285,18.335401,1000,Sweden,SE,Stockholms län,"lakeside, edge of forest",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,2,2,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201146,Polyommatus amandus,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatus,amandus,species,"Schneider, 1792",Silverblåvinge,SBN
SBN:104785:201148,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2 | site:569:3 ,,,1000,Sweden,SE,Stockholms län,"deciduous forest, lakeside",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,22,22,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201148,Aricia artaxerxes,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Aricia,artaxerxes,species,"Fabricius, 1793",Midsommarblåvinge,SBN
SBN:104785:201151,SBN:eventId:104785,07,08,2023,site:569:3,59.553285,18.335401,1000,Sweden,SE,Stockholms län,"lakeside, edge of forest",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,1,1,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201151,Agriades optilete,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Agriades,optilete,species,"Knoch, 1781",Violett blåvinge,SBN
SBN:104785:201152,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2,,,1000,Sweden,SE,Stockholms län,deciduous forest,HumanObservation,SBN:recorderId:308|SBN:recorderId:558,5,5,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201152,Plebejus argus,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Plebejus,argus,species,"Linnaeus, 1758",Ljungblåvinge,SBN
SBN:104785:201153,SBN:eventId:104785,07,08,2023,site:569:1 | site:569:2 | site:569:3 ,,,1000,Sweden,SE,Stockholms län,"deciduous forest, lakeside",HumanObservation,SBN:recorderId:308|SBN:recorderId:558,52,52,individuals,Present,The number of individuals observed is the sum total from the surveyed segments of the transect site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201153,Plebejus idas,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Plebejus,idas,species,"Linnaeus, 1761",Hedblåvinge,SBN
SBN:11280:201028,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201028,Thymelicus lineola,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Thymelicus,lineola,species,"Ochsenheimer, 1808",Mindre tåtelsmygare,SBN
SBN:11280:201031,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden ,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201031,Ochlodes sylvanus,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ochlodes,sylvanus,species,"Esper, 1778",Ängssmygare,SBN
SBN:11280:201040,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201040,Pieris rapae,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,rapae,species,"Linnaeus, 1758",Rovfjäril,SBN
SBN:11280:201041,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201041,Pieris napi,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,napi,species,"Linnaeus, 1758",Rapsfjäril,SBN
SBN:11280:201044,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201044,Anthocharis cardamines,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Anthocharis,cardamines,species,"Linnaeus, 1758",Aurorafjäril,SBN
SBN:11280:201051,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201051,Gonepteryx rhamni,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx,rhamni,species,"Linnaeus, 1758",Citronfjäril,SBN
SBN:11280:201059,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201059,Aglais io,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,aglais,io,species,"Linnaeus, 1758",Påfågelöga,SBN
SBN:11280:201062,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201062,Aglais urticae,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,aglais,urticae,species,"Linnaeus, 1758",Nässelfjäril,SBN
SBN:11280:201063,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201063,Polygonia c-album,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia,c-album,species,"Linnaeus, 1758",Vinbärsfuks,SBN
SBN:11280:201064,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201064,Araschnia levana,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Araschnia,levana,species,"Linnaeus, 1758",Kartfjäril,SBN
SBN:11280:201064,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201065,Argynnis paphia,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Argynnis,paphia,species,"Linnaeus, 1758",Silverstreckad pärlemorfjäril,SBN
SBN:11280:201067,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201067,Speyeria aglaja,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Speyeria,aglaja,species,"Linnaeus, 1758",Ängspärlemorfjäril,SBN
SBN:11280:201071,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201071,Brenthis  ino,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Brenthis,ino,species,"Rottemburg, 1775",Älggräspärlemorfjäril,SBN
SBN:11280:201075,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201075,Boloria selene,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,selene,species,"Denis & Schiffermüller, 1775",Brunfläckig pärlemorfjäril,SBN
SBN:11280:201086,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201086,Melitaea athalia,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melitaea,athalia,species,"Rottemburg, 1775",Skogsnätfjäril,SBN
SBN:11280:201099,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201099,Erebia ligea,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Erebia,ligea,species,"Linnaeus, 1758",Skogsgräsfjäril,SBN
SBN:11280:201104,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201104,Maniola jurtina,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Maniola,jurtina,species,"Linnaeus, 1758",Slåttergräsfjäril,SBN
SBN:11280:201107,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201107,Aphantopus hyperantus,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aphantopus,hyperantus,species,"Linnaeus, 1758",Luktgräsfjäril,SBN
SBN:11280:201109,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden ,SW#,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201109,Coenonympha pamphilus,Animals,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,pamphilus,species,"Linnaeus, 1758",Kamgräsfjäril,SBN
SBN:11280:201110,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201110,Coenonympha arcania,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,arcania,species,"Linnaeus, 1760",Pärlgräsfjäril,SBN
SBN:11280:201113,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201113,Pararge aegeria,Animals,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,aegeria,species,"Linnaeus, 1758",Kvickgräsfjäril,SBN
SBN:11280:201115,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201115,Lasiommata maera,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lasiommata,maera,species,"Linnaeus, 1758",Vitgräsfjäril,SBN
SBN:11280:201125,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201125,Callophrys rubi,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Callophrys,rubi,species,"Linnaeus, 1758",Grönsnabbvinge,SBN
SBN:11280:201126,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201126,Lycaena phlaeas,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,phlaeas,species,"Linnaeus, 1760",Mindre guldvinge,SBN
SBN:11280:201129,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201129,Lycaena virgaureae,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,virgaureae,species,"Linnaeus, 1758",Vitfläckig guldvinge,SBN
SBN:11280:201143,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201143,Cyaniris semiargus,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cyaniris,semiargus,species,"Rottemburg, 1775",Ängsblåvinge,SBN
SBN:11280:201144,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201144,Polyommatus icarus,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatus,icarus,species,"Rottemburg, 1775",Puktörneblåvinge,SBN
SBN:11280:201151,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201151,Agriades optilete,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Agriades,optilete,species,"Knoch, 1781",Violett blåvinge,SBN
SBN:11280:201152,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:201152,Plebejus argus,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Plebejus,argus,species,"Linnaeus, 1758",Ljungblåvinge,SBN
SBN:11280:6006844,SBN:eventId:11280,07,01,2015,,,,82.0209973753,Sweden,SE,Jönköpings län,,HumanObservation,SBN:recorderId:608,1,1,individuals,Present,The number of individuals observed is the sum total from the whole point site.,,Validated,urn:lsid:dyntaxa.se:Taxon:6006844,Leptidea juvernica/sinapis,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Leptidea,juvernica/sinapis,speciesAggregate,,Ängsvitvinge/Skogsvitvinge,SBN
